Action_end_bvh_frame,Action_end_rgb_frame,Action_end_rgb_sec,Action_label,Action_start_bvh_frame,Action_start_rgb_frame,Action_start_rgb_sec,Duration_sec,File,Meta_action_class_number,Meta_action_label,Operation,Recurrence,Subject
91004,22923,764.88,[OP070] Catch component,90828,22879,763.4,1.48,P05_R01,10,Take component,OP070,R01,P05
92574,23319,778.08,[OP070] Place DI2T on P360-2,91965,23166,772.96,5.12,P05_R01,12,Assemble system,OP070,R01,P05
93888,23650,789.12,[OP070] Take screwdriver,93631,23585,786.96,2.16,P05_R01,4,Take screwdriver,OP070,R01,P05
94664,23845,795.64,[OP070] Screw P360-2 with B835,93888,23650,789.12,6.52,P05_R01,12,Assemble system,OP070,R01,P05
94906,23906,797.68,[OP070] Put down screwdriver,94664,23845,795.64,2.04,P05_R01,5,Put down screwdriver,OP070,R01,P05
96258,24247,809.04,[OP070] Put down Lower Part,95649,24093,803.92,5.12,P05_R01,14,Put down subsystem,OP070,R01,P05
1885,475,15.84,[OP010] Turn sheets,1595,402,13.4,2.44,P05_R02,3,Turn sheets,OP010,R02,P05
2228,561,18.72,[OP010] Catch Fixation FIXA1,1937,488,16.28,2.44,P05_R02,6,Picking in front,OP010,R02,P05
2571,647,21.6,[OP010] Catch Bolt B820,2318,584,19.48,2.12,P05_R02,7,Picking left,OP010,R02,P05
2594,653,21.8,[OP010] Put down component,2571,647,21.6,0.2,P05_R02,11,Put down component,OP010,R02,P05
2861,720,24.04,[OP010] Catch Fixture key LARD,2594,653,21.8,2.24,P05_R02,7,Picking left,OP010,R02,P05
2885,726,24.24,[OP010] Put down component,2861,720,24.04,0.2,P05_R02,11,Put down component,OP010,R02,P05
4346,1095,36.52,[OP010] Place LARD on Profile P360-1,3537,891,29.72,6.8,P05_R02,12,Assemble system,OP010,R02,P05
4727,1190,39.72,[OP010] Catch component,4575,1152,38.44,1.28,P05_R02,10,Take component,OP010,R02,P05
5512,1388,46.32,[OP010] Place FIXA1 on LARD at 160mm,4756,1198,39.96,6.36,P05_R02,12,Assemble system,OP010,R02,P05
5869,1478,49.32,[OP010] Take measuring rod,5650,1423,47.48,1.84,P05_R02,8,Take measuring rod,OP010,R02,P05
6503,1638,54.64,[OP010] Place FIXA1 on LARD at 160mm,5869,1478,49.32,5.32,P05_R02,12,Assemble system,OP010,R02,P05
6741,1698,56.64,[OP010] Take screwdriver,6507,1639,54.68,1.96,P05_R02,4,Take screwdriver,OP010,R02,P05
7278,1833,61.16,[OP010] Screw FIXA1 with B820,6741,1698,56.64,4.52,P05_R02,12,Assemble system,OP010,R02,P05
7497,1888,63.0,[OP010] Put down screwdriver,7288,1835,61.24,1.76,P05_R02,5,Put down screwdriver,OP010,R02,P05
7683,1935,64.56,[OP010] Put down measuring rod,7497,1888,63.0,1.56,P05_R02,9,Put down measuring rod,OP010,R02,P05
8378,2110,70.4,[OP020] Turn sheets,8073,2033,67.84,2.56,P05_R02,3,Turn sheets,OP020,R02,P05
8592,2164,72.2,[OP020] Catch Fixation FIXA1,8430,2123,70.84,1.36,P05_R02,6,Picking in front,OP020,R02,P05
8783,2212,73.8,[OP020] Catch Bolt B820,8592,2164,72.2,1.6,P05_R02,7,Picking left,OP020,R02,P05
9106,2293,76.52,[OP020] Catch Fixture key LARD,8783,2212,73.8,2.72,P05_R02,7,Picking left,OP020,R02,P05
9216,2321,77.44,[OP020] Put down component,9106,2293,76.52,0.92,P05_R02,11,Put down component,OP020,R02,P05
9435,2376,79.28,[OP020] Catch component,9283,2338,78.0,1.28,P05_R02,10,Take component,OP020,R02,P05
9958,2508,83.68,[OP020] Place LARD on P360-1,9620,2423,80.84,2.84,P05_R02,12,Assemble system,OP020,R02,P05
10125,2550,85.08,[OP020] Catch component,9992,2516,83.96,1.12,P05_R02,10,Take component,OP020,R02,P05
10896,2744,91.56,[OP020] Place FIXA1 on LARD at 160mm,10182,2564,85.56,6.0,P05_R02,12,Assemble system,OP020,R02,P05
11215,2824,94.24,[OP020] Take measuring rod,10915,2749,91.72,2.52,P05_R02,8,Take measuring rod,OP020,R02,P05
11677,2941,98.12,[OP020] Place FIXA1 on LARD at 160mm,11215,2824,94.24,3.88,P05_R02,12,Assemble system,OP020,R02,P05
11948,3009,100.4,[OP020] Take screwdriver,11763,2962,98.84,1.56,P05_R02,4,Take screwdriver,OP020,R02,P05
12729,3206,106.96,[OP020] Screw FIXA1 with B820,11948,3009,100.4,6.56,P05_R02,12,Assemble system,OP020,R02,P05
12877,3243,108.2,[OP020] Put down screwdriver,12729,3206,106.96,1.24,P05_R02,5,Put down screwdriver,OP020,R02,P05
13072,3292,109.84,[OP020] Put down measuring rod,12877,3243,108.2,1.64,P05_R02,5,Put down screwdriver,OP020,R02,P05
13300,3349,111.76,[OP030] Consult sheets,13210,3327,111.0,0.76,P05_R02,2,Consult sheets,OP030,R02,P05
13652,3438,114.72,[OP030] Consult sheets,13557,3414,113.92,0.8,P05_R02,2,Consult sheets,OP030,R02,P05
13871,3493,116.56,[OP030] Consult sheets,13833,3484,116.24,0.32,P05_R02,2,Consult sheets,OP030,R02,P05
14167,3568,119.04,[OP030] Catch Pillow block bearing PAL4019 (x2),13909,3503,116.88,2.16,P05_R02,6,Picking in front,OP030,R02,P05
14405,3628,121.04,[OP030] Catch Pillow block bearing PAL4019 (x2),14167,3568,119.04,2.0,P05_R02,6,Picking in front,OP030,R02,P05
14738,3711,123.84,[OP030] Put down component,14443,3637,121.36,2.48,P05_R02,11,Put down component,OP030,R02,P05
15395,3877,129.36,[OP030] Catch Bolt B840 (x2),15095,3801,126.84,2.52,P05_R02,7,Picking left,OP030,R02,P05
15447,3890,129.8,[OP030] Put down component,15395,3877,129.36,0.44,P05_R02,11,Put down component,OP030,R02,P05
16271,4097,136.72,[OP030] Catch Fixation FIXT (x2),15585,3925,130.96001,5.76,P05_R02,6,Picking in front,OP030,R02,P05
16375,4124,137.60001,[OP030] Put down component,16271,4097,136.72,0.88,P05_R02,11,Put down component,OP030,R02,P05
17675,4451,148.52,[OP030] Catch Fixture key LARD (x2),17037,4291,143.16,5.36,P05_R02,7,Picking left,OP030,R02,P05
17737,4467,149.03999,[OP030] Put down component,17675,4451,148.52,0.52,P05_R02,11,Put down component,OP030,R02,P05
18375,4627,154.39999,[OP030] Catch Cover CAPO (x2),18070,4551,151.84,2.56,P05_R02,6,Picking in front,OP030,R02,P05
18432,4642,154.88,[OP030] Put down component,18375,4627,154.39999,0.48,P05_R02,11,Put down component,OP030,R02,P05
18594,4683,156.24001,[OP030] Catch component,18451,4647,155.03999,1.2,P05_R02,10,Take component,OP030,R02,P05
19346,4872,162.56,[OP030] Place LARD on P360-1 (x2),18898,4759,158.8,3.76,P05_R02,12,Assemble system,OP030,R02,P05
21597,5439,181.48,[OP030] Place LARD on P360-1 (x2),20479,5157,172.08,9.4,P05_R02,12,Assemble system,OP030,R02,P05
22145,5577,186.08,[OP030] Catch component,21697,5464,182.32001,3.76,P05_R02,10,Take component,OP030,R02,P05
22526,5673,189.28,[OP030] Catch component,22307,5618,187.44,1.84,P05_R02,10,Take component,OP030,R02,P05
24501,6170,205.88,[OP030] Place PAL4019 on FIXT (x2),23582,5939,198.16,7.72,P05_R02,12,Assemble system,OP030,R02,P05
24758,6235,208.03999,[OP030] Take screwdriver,24544,6181,206.24001,1.8,P05_R02,4,Take screwdriver,OP030,R02,P05
25544,6433,214.64,[OP030] Screw PAL4019 with B820 (x2),24758,6235,208.03999,6.6,P05_R02,12,Assemble system,OP030,R02,P05
25815,6501,216.92,[OP030] Put down screwdriver,25544,6433,214.64,2.28,P05_R02,5,Put down screwdriver,OP030,R02,P05
26220,6603,220.32001,[OP030] Catch component,25872,6515,217.39999,2.92,P05_R02,10,Take component,OP030,R02,P05
26710,6726,224.44,[OP030] Catch component,26567,6691,223.24001,1.2,P05_R02,10,Take component,OP030,R02,P05
27824,7007,233.8,[OP030] Place PAL4019 on FIXT (x2),27153,6838,228.16,5.64,P05_R02,12,Assemble system,OP030,R02,P05
28076,7071,235.92,[OP030] Take screwdriver,27824,7007,233.8,2.12,P05_R02,4,Take screwdriver,OP030,R02,P05
28681,7223,241.0,[OP030] Screw PAL4019 with B820 (x2),28076,7071,235.92,5.08,P05_R02,12,Assemble system,OP030,R02,P05
29718,7484,249.72,[OP030] Put down screwdriver,29480,7424,247.72,2.0,P05_R02,5,Put down screwdriver,OP030,R02,P05
30785,7753,258.67999,[OP030] Place PAL4019 on FIXT (x2),30113,7584,253.03999,5.64,P05_R02,12,Assemble system,OP030,R02,P05
31032,7815,260.76001,[OP030] Take screwdriver,30823,7762,259.0,1.76,P05_R02,4,Take screwdriver,OP030,R02,P05
31661,7973,266.04001,[OP030] Place PAL4019 on FIXT (x2),31032,7815,260.76001,5.28,P05_R02,12,Assemble system,OP030,R02,P05
31899,8033,268.04001,[OP030] Put down screwdriver,31661,7973,266.04001,2.0,P05_R02,5,Put down screwdriver,OP030,R02,P05
32089,8081,269.64001,[OP030] Catch component,31937,8043,268.35999,1.28,P05_R02,10,Take component,OP030,R02,P05
33022,8316,277.48001,[OP030] Place CAPO on P360-1(x2),32479,8179,272.92001,4.56,P05_R02,12,Assemble system,OP030,R02,P05
33822,8517,284.20001,[OP030] Place CAPO on P360-1(x2),33189,8358,278.88,5.32,P05_R02,12,Assemble system,OP030,R02,P05
34631,8721,291.0,[OP030] Put down Profile P360-1,34117,8592,286.67999,4.32,P05_R02,14,Put down subsystem,OP030,R02,P05
35526,8947,298.51999,[OP040] Turn sheets,35212,8868,295.88,2.64,P05_R02,3,Turn sheets,OP040,R02,P05
35950,9053,302.07999,[OP040] Catch Fixation FIXA2,35573,8959,298.92001,3.16,P05_R02,6,Picking in front,OP040,R02,P05
36059,9081,303.0,[OP040] Put down component,35969,9058,302.23999,0.76,P05_R02,11,Put down component,OP040,R02,P05
36492,9190,306.64001,[OP040] Catch Bolt B820,36073,9085,303.12,3.52,P05_R02,7,Picking left,OP040,R02,P05
36668,9234,308.12,[OP040] Catch component,36549,9204,307.12,1.0,P05_R02,10,Take component,OP040,R02,P05
37173,9361,312.35999,[OP040] Place FIXA2 on P360-2,36797,9267,309.20001,3.16,P05_R02,12,Assemble system,OP040,R02,P05
37406,9420,314.32001,[OP040] Take screwdriver,37201,9369,312.60001,1.72,P05_R02,4,Take screwdriver,OP040,R02,P05
38120,9600,320.32001,[OP040] Screw FIXA2 with B820,37406,9420,314.32001,6.0,P05_R02,12,Assemble system,OP040,R02,P05
38372,9664,322.44,[OP040] Put down screwdriver,38120,9600,320.32001,2.12,P05_R02,5,Put down screwdriver,OP040,R02,P05
38877,9791,326.67999,[OP040] Consult sheets,38796,9770,326.0,0.68,P05_R02,2,Consult sheets,OP040,R02,P05
39306,9898,330.28,[OP040] Catch Fixation FIXL,39063,9837,328.23999,2.04,P05_R02,6,Picking in front,OP040,R02,P05
39548,9960,332.32001,[OP040] Catch Strap clamps BRIT (x2),39334,9906,330.51999,1.8,P05_R02,7,Picking left,OP040,R02,P05
39796,10022,334.39999,[OP040] Catch Strap clamps BRIT (x2),39563,9963,332.44,1.96,P05_R02,7,Picking left,OP040,R02,P05
40162,10114,337.48001,[OP040] Catch Bolt B820PT,39801,10023,334.44,3.04,P05_R02,7,Picking left,OP040,R02,P05
40229,10131,338.04001,[OP040] Put down component,40162,10114,337.48001,0.56,P05_R02,11,Put down component,OP040,R02,P05
40343,10160,339.0,[OP040] Catch component,40239,10133,338.12,0.88,P05_R02,10,Take component,OP040,R02,P05
41281,10396,346.88,[OP040] Place BRIT1 and BRIT2 on FIXL,40343,10160,339.0,7.88,P05_R02,12,Assemble system,OP040,R02,P05
41686,10498,350.28,[OP040] Catch component,41533,10460,349.0,1.28,P05_R02,10,Take component,OP040,R02,P05
42609,10730,358.04001,[OP040] Place FIXL on P360-2,42157,10617,354.23999,3.8,P05_R02,12,Assemble system,OP040,R02,P05
42947,10816,360.88,[OP040] Take screwdriver,42657,10742,358.44,2.44,P05_R02,4,Take screwdriver,OP040,R02,P05
43509,10957,365.60001,[OP040] Screw FIXL with B820PT,43014,10832,361.44,4.16,P05_R02,12,Assemble system,OP040,R02,P05
43680,11000,367.04001,[OP040] Put down screwdriver,43509,10957,365.60001,1.44,P05_R02,5,Put down screwdriver,OP040,R02,P05
44451,11194,373.51999,[OP050] Turn sheets,44123,11112,370.76001,2.76,P05_R02,3,Turn sheets,OP050,R02,P05
44642,11242,375.12,[OP050] Catch Profile P040,44466,11198,373.64001,1.48,P05_R02,6,Picking in front,OP050,R02,P05
44675,11251,375.39999,[OP050] Put down component,44642,11242,375.12,0.28,P05_R02,11,Put down component,OP050,R02,P05
44965,11324,377.84,[OP050] Catch Strap clamps BRIT (x2),44675,11251,375.39999,2.44,P05_R02,7,Picking left,OP050,R02,P05
45123,11363,379.16,[OP050] Catch Strap clamps BRIT (x2),44965,11324,377.84,1.32,P05_R02,7,Picking left,OP050,R02,P05
45308,11410,380.72,[OP050] Catch Bolt B820PT,45123,11363,379.16,1.56,P05_R02,7,Picking left,OP050,R02,P05
45332,11416,380.92001,[OP050] Put down component,45308,11410,380.72,0.2,P05_R02,11,Put down component,OP050,R02,P05
45599,11483,383.16,[OP050] Consult sheets,45499,11458,382.32001,0.84,P05_R02,2,Consult sheets,OP050,R02,P05
45960,11574,386.2,[OP050] Catch component,45741,11519,384.36,1.84,P05_R02,10,Take component,OP050,R02,P05
46394,11684,389.84,[OP050] Place BRIT1 and BRIT2 on P040,46079,11604,387.2,2.64,P05_R02,12,Assemble system,OP050,R02,P05
46912,11814,394.2,[OP050] Place BRIT1 and BRIT2 on P040,46627,11742,391.8,2.4,P05_R02,12,Assemble system,OP050,R02,P05
47265,11903,397.16,[OP050] Catch component,46979,11831,394.76,2.4,P05_R02,10,Take component,OP050,R02,P05
47803,12038,401.68,[OP050] Place P040 on P360-2,47417,11941,398.44,3.24,P05_R02,12,Assemble system,OP050,R02,P05
48074,12107,403.96,[OP050] Take screwdriver,47803,12038,401.68,2.28,P05_R02,4,Take screwdriver,OP050,R02,P05
48631,12247,408.64,[OP050] Screw P040 with B820PT,48074,12107,403.96,4.68,P05_R02,12,Assemble system,OP050,R02,P05
48850,12302,410.48,[OP050] Put down screwdriver,48631,12247,408.64,1.84,P05_R02,5,Put down screwdriver,OP050,R02,P05
49045,12351,412.12,[OP060] Consult sheets,49012,12343,411.84,0.28,P05_R02,2,Consult sheets,OP060,R02,P05
49497,12465,415.92,[OP060] Consult sheets,49335,12424,414.56,1.36,P05_R02,2,Consult sheets,OP060,R02,P05
49730,12524,417.88,[OP060] Catch Fixation FIXA1,49497,12465,415.92,1.96,P05_R02,6,Picking in front,OP060,R02,P05
50097,12616,420.96,[OP060] Catch Bolt B820 (x2),49735,12525,417.92,3.04,P05_R02,7,Picking left,OP060,R02,P05
50421,12698,423.68,[OP060] Catch Fixture key LARD,50107,12619,421.04,2.64,P05_R02,7,Picking left,OP060,R02,P05
50583,12738,425.04,[OP060] Put down component,50421,12698,423.68,1.36,P05_R02,11,Put down component,OP060,R02,P05
50973,12837,428.32,[OP060] Place LARD on P040 (P360-2),50678,12762,425.84,2.48,P05_R02,12,Assemble system,OP060,R02,P05
51239,12904,430.56,[OP060] Catch component,51078,12863,429.2,1.36,P05_R02,10,Take component,OP060,R02,P05
52591,13244,441.92,[OP060] Place FIXA1 on P360-2,51758,13035,434.92,7.0,P05_R02,12,Assemble system,OP060,R02,P05
52844,13308,444.04,[OP060] Take screwdriver,52601,13247,442.0,2.04,P05_R02,4,Take screwdriver,OP060,R02,P05
53915,13578,453.04,[OP060] Screw FIXA1 with B820,52844,13308,444.04,9.0,P05_R02,12,Assemble system,OP060,R02,P05
54381,13695,456.96,[OP060] Put down screwdriver,53915,13578,453.04,3.92,P05_R02,5,Put down screwdriver,OP060,R02,P05
55119,13881,463.16,[OP060] Turn sheets,54634,13759,459.08,4.08,P05_R02,3,Turn sheets,OP060,R02,P05
55381,13947,465.36,[OP060] Catch Bolt B820 (x2),55119,13881,463.16,2.2,P05_R02,7,Picking left,OP060,R02,P05
55595,14001,467.16,[OP060] Catch Fixation FIXA2,55381,13947,465.36,1.8,P05_R02,6,Picking in front,OP060,R02,P05
55966,14094,470.28,[OP060] Place FIXA2 on P360-2,55671,14020,467.8,2.48,P05_R02,12,Assemble system,OP060,R02,P05
56247,14165,472.64,[OP060] Take screwdriver,56005,14104,470.6,2.04,P05_R02,4,Take screwdriver,OP060,R02,P05
56895,14328,478.08,[OP060] Screw FIXA2 with B820,56247,14165,472.64,5.44,P05_R02,12,Assemble system,OP060,R02,P05
57290,14428,481.4,[OP060] Put down screwdriver,56895,14328,478.08,3.32,P05_R02,5,Put down screwdriver,OP060,R02,P05
58475,14726,491.36,[OP070] Catch Disk DI2T,58232,14665,489.32,2.04,P05_R02,6,Picking in front,OP070,R02,P05
58508,14734,491.64,[OP070] Put down component,58475,14726,491.36,0.28,P05_R02,11,Put down component,OP070,R02,P05
58694,14781,493.2,[OP070] Catch Nut ECR8,58513,14736,491.68,1.52,P05_R02,7,Picking left,OP070,R02,P05
58732,14791,493.52,[OP070] Put down component,58694,14781,493.2,0.32,P05_R02,11,Put down component,OP070,R02,P05
59503,14985,500.0,[OP070] Consult sheets,59089,14881,496.52,3.48,P05_R02,2,Consult sheets,OP070,R02,P05
59603,15010,500.84,[OP070] Catch component,59532,14992,500.24,0.6,P05_R02,10,Take component,OP070,R02,P05
59998,15110,504.16,[OP070] Catch P360-1,59613,15013,500.92,3.24,P05_R02,13,Take subsystem,OP070,R02,P05
60217,15165,506.0,[OP070] Catch component,60084,15131,504.88,1.12,P05_R02,10,Take component,OP070,R02,P05
60289,15183,506.6,[OP070] Place DI2T on P360-2,60217,15165,506.0,0.6,P05_R02,12,Assemble system,OP070,R02,P05
61103,15388,513.44,[OP070] Catch Bolt B835,60836,15321,511.2,2.24,P05_R02,7,Picking left,OP070,R02,P05
61127,15394,513.64,[OP070] Put down component,61103,15388,513.44,0.2,P05_R02,11,Put down component,OP070,R02,P05
61255,15426,514.72,[OP070] Catch component,61136,15396,513.72,1.0,P05_R02,10,Take component,OP070,R02,P05
61703,15539,518.48,[OP070] Place ECR8 on DI2T,61284,15433,514.96,3.52,P05_R02,12,Assemble system,OP070,R02,P05
62017,15618,521.12,[OP070] Catch component,61774,15557,519.08,2.04,P05_R02,10,Take component,OP070,R02,P05
64040,16127,538.12,[OP070] Take screwdriver,63759,16057,535.76,2.36,P05_R02,4,Take screwdriver,OP070,R02,P05
65168,16412,547.6,[OP070] Screw P360-2 with B835,64040,16127,538.12,9.48,P05_R02,12,Assemble system,OP070,R02,P05
65435,16479,549.84,[OP070] Put down screwdriver,65168,16412,547.6,2.24,P05_R02,5,Put down screwdriver,OP070,R02,P05
67177,16917,564.48,[OP070] Put down Lower Part,66253,16685,556.72,7.76,P05_R02,14,Put down subsystem,OP070,R02,P05
862,217,7.24,[OP010] Catch Fixture key LARD,605,152,5.08,2.16,P05_R03,7,Picking left,OP010,R03,P05
1047,264,8.8,[OP010] Catch Fixation FIXA1,886,223,7.44,1.36,P05_R03,6,Picking in front,OP010,R03,P05
1290,325,10.84,[OP010] Catch Bolt B820,1052,265,8.84,2.0,P05_R03,7,Picking left,OP010,R03,P05
1362,343,11.44,[OP010] Put down component,1290,325,10.84,0.6,P05_R03,11,Put down component,OP010,R03,P05
2138,538,17.96,[OP010] Place LARD on Profile P360-1,1919,483,16.12,1.84,P05_R03,12,Assemble system,OP010,R03,P05
2319,584,19.48,[OP010] Catch component,2180,549,18.32,1.16,P05_R03,10,Take component,OP010,R03,P05
2514,633,21.12,[OP010] Catch component,2319,584,19.48,1.64,P05_R03,10,Take component,OP010,R03,P05
2837,714,23.84,[OP010] Place FIXA1 on LARD at 160mm,2514,633,21.12,2.72,P05_R03,12,Assemble system,OP010,R03,P05
3052,768,25.64,[OP010] Take measuring rod,2857,719,24.0,1.64,P05_R03,8,Take measuring rod,OP010,R03,P05
3356,845,28.2,[OP010] Place FIXA1 on LARD at 160mm,3052,768,25.64,2.56,P05_R03,12,Assemble system,OP010,R03,P05
3566,898,29.96,[OP010] Take screwdriver,3380,851,28.4,1.56,P05_R03,4,Take screwdriver,OP010,R03,P05
4056,1021,34.08,[OP010] Screw FIXA1 with B820,3566,898,29.96,4.12,P05_R03,12,Assemble system,OP010,R03,P05
4190,1055,35.2,[OP010] Put down screwdriver,4056,1021,34.08,1.12,P05_R03,5,Put down screwdriver,OP010,R03,P05
4375,1102,36.76,[OP010] Put down measuring rod,4190,1055,35.2,1.56,P05_R03,9,Put down measuring rod,OP010,R03,P05
4927,1241,41.4,[OP020] Turn sheets,4585,1154,38.52,2.88,P05_R03,3,Turn sheets,OP020,R03,P05
5166,1301,43.4,[OP020] Catch Fixture key LARD,4947,1246,41.56,1.84,P05_R03,7,Picking left,OP020,R03,P05
5351,1347,44.96,[OP020] Catch Fixation FIXA1,5175,1303,43.48,1.48,P05_R03,6,Picking in front,OP020,R03,P05
5565,1401,46.76,[OP020] Catch Bolt B820,5356,1349,45.0,1.76,P05_R03,7,Picking left,OP020,R03,P05
5637,1419,47.36,[OP020] Put down component,5565,1401,46.76,0.6,P05_R03,11,Put down component,OP020,R03,P05
5699,1435,47.88,[OP020] Catch component,5637,1419,47.36,0.52,P05_R03,10,Take component,OP020,R03,P05
6356,1600,53.4,[OP020] Place LARD on P360-1,6103,1537,51.28,2.12,P05_R03,12,Assemble system,OP020,R03,P05
6508,1639,54.68,[OP020] Catch component,6356,1600,53.4,1.28,P05_R03,10,Take component,OP020,R03,P05
7094,1786,59.6,[OP020] Place FIXA1 on LARD at 160mm,6770,1705,56.88,2.72,P05_R03,12,Assemble system,OP020,R03,P05
7322,1844,61.52,[OP020] Take measuring rod,7127,1795,59.88,1.64,P05_R03,8,Take measuring rod,OP020,R03,P05
7603,1914,63.88,[OP020] Place FIXA1 on LARD at 160mm,7322,1844,61.52,2.36,P05_R03,12,Assemble system,OP020,R03,P05
7770,1956,65.28,[OP020] Take screwdriver,7603,1914,63.88,1.4,P05_R03,4,Take screwdriver,OP020,R03,P05
8365,2106,70.28,[OP020] Screw FIXA1 with B820,7770,1956,65.28,5.0,P05_R03,12,Assemble system,OP020,R03,P05
8474,2134,71.2,[OP020] Put down screwdriver,8365,2106,70.28,0.92,P05_R03,5,Put down screwdriver,OP020,R03,P05
8627,2172,72.48,[OP020] Put down measuring rod,8474,2134,71.2,1.28,P05_R03,9,Put down measuring rod,OP020,R03,P05
8969,2259,75.36,[OP030] Consult sheets,8860,2231,74.44,0.92,P05_R03,2,Consult sheets,OP030,R03,P05
9379,2362,78.8,[OP030] Catch Pillow block bearing PAL4019 (x2),9022,2272,75.8,3.0,P05_R03,6,Picking in front,OP030,R03,P05
9555,2406,80.28,[OP030] Catch Pillow block bearing PAL4019 (x2),9379,2362,78.8,1.48,P05_R03,6,Picking in front,OP030,R03,P05
9655,2431,81.12,[OP030] Put down component,9555,2406,80.28,0.84,P05_R03,11,Put down component,OP030,R03,P05
9926,2499,83.4,[OP030] Catch Fixation FIXT (x2),9655,2431,81.12,2.28,P05_R03,6,Picking in front,OP030,R03,P05
9964,2509,83.72,[OP030] Put down component,9926,2499,83.4,0.32,P05_R03,11,Put down component,OP030,R03,P05
10336,2603,86.84,[OP030] Catch Bolt B840 (x2),9993,2516,83.96,2.88,P05_R03,7,Picking left,OP030,R03,P05
10417,2623,87.52,[OP030] Put down component,10336,2603,86.84,0.68,P05_R03,11,Put down component,OP030,R03,P05
10798,2719,90.72,[OP030] Catch Cover CAPO (x2),10431,2627,87.64,3.08,P05_R03,6,Picking in front,OP030,R03,P05
10940,2755,91.92,[OP030] Put down component,10798,2719,90.72,1.2,P05_R03,11,Put down component,OP030,R03,P05
12150,3059,102.08,[OP030] Catch Fixture key LARD (x2),11835,2980,99.44,2.64,P05_R03,7,Picking left,OP030,R03,P05
12588,3170,105.76,[OP030] Place LARD on P360-1 (x2),12350,3110,103.76,2.0,P05_R03,12,Assemble system,OP030,R03,P05
13202,3324,110.92,[OP030] Place LARD on P360-1 (x2),12940,3258,108.72,2.2,P05_R03,12,Assemble system,OP030,R03,P05
13440,3384,112.92,[OP030] Catch component,13235,3333,111.2,1.72,P05_R03,10,Take component,OP030,R03,P05
13802,3475,115.96,[OP030] Catch component,13649,3437,114.68,1.28,P05_R03,10,Take component,OP030,R03,P05
16168,4071,135.84,[OP030] Place PAL4019 on FIXT (x2),15363,3869,129.08,6.76,P05_R03,12,Assemble system,OP030,R03,P05
16377,4124,137.60001,[OP030] Take screwdriver,16187,4076,136.0,1.6,P05_R03,4,Take screwdriver,OP030,R03,P05
17720,4462,148.88,[OP030] Screw PAL4019 with B820 (x2),16377,4124,137.60001,11.28,P05_R03,12,Assemble system,OP030,R03,P05
17953,4521,150.84,[OP030] Put down screwdriver,17744,4468,149.08,1.76,P05_R03,5,Put down screwdriver,OP030,R03,P05
18163,4573,152.60001,[OP030] Catch component,17991,4530,151.16,1.44,P05_R03,10,Take component,OP030,R03,P05
18520,4663,155.60001,[OP030] Catch component,18344,4619,154.12,1.48,P05_R03,10,Take component,OP030,R03,P05
19258,4849,161.8,[OP030] Place PAL4019 on FIXT (x2),18805,4735,158.0,3.8,P05_R03,12,Assemble system,OP030,R03,P05
19558,4925,164.32001,[OP030] Take screwdriver,19343,4871,162.52,1.8,P05_R03,4,Take screwdriver,OP030,R03,P05
20205,5088,169.75999,[OP030] Screw PAL4019 with B820 (x2),19558,4925,164.32001,5.44,P05_R03,12,Assemble system,OP030,R03,P05
20491,5160,172.16,[OP030] Put down screwdriver,20262,5102,170.24001,1.92,P05_R03,5,Put down screwdriver,OP030,R03,P05
20695,5211,173.88,[OP030] Catch component,20529,5169,172.48,1.4,P05_R03,10,Take component,OP030,R03,P05
22476,5660,188.84,[OP030] Place CAPO on P360-1(x2),20843,5248,175.12,13.72,P05_R03,12,Assemble system,OP030,R03,P05
22995,5790,193.2,[OP030] Place CAPO on P360-1(x2),22628,5698,190.12,3.08,P05_R03,12,Assemble system,OP030,R03,P05
24104,6070,202.52,[OP030] Put down Profile P360-1,23690,5965,199.03999,3.48,P05_R03,14,Put down subsystem,OP030,R03,P05
24809,6247,208.44,[OP040] Consult sheets,24709,6222,207.60001,0.84,P05_R03,2,Consult sheets,OP040,R03,P05
25090,6318,210.8,[OP040] Catch Fixation FIXA2,24856,6259,208.84,1.96,P05_R03,6,Picking in front,OP040,R03,P05
25275,6364,212.36,[OP040] Catch Bolt B820,25094,6319,210.84,1.52,P05_R03,7,Picking left,OP040,R03,P05
26023,6553,218.64,[OP040] Place FIXA2 on P360-2,25785,6493,216.64,2.0,P05_R03,12,Assemble system,OP040,R03,P05
26189,6595,220.03999,[OP040] Take screwdriver,26028,6554,218.67999,1.36,P05_R03,4,Take screwdriver,OP040,R03,P05
26570,6691,223.24001,[OP040] Screw FIXA2 with B820,26189,6595,220.03999,3.2,P05_R03,12,Assemble system,OP040,R03,P05
26765,6740,224.88,[OP040] Put down screwdriver,26589,6695,223.39999,1.48,P05_R03,5,Put down screwdriver,OP040,R03,P05
27051,6812,227.28,[OP040] Consult sheets,26980,6794,226.67999,0.6,P05_R03,2,Consult sheets,OP040,R03,P05
27684,6971,232.60001,[OP040] Catch Fixation FIXL,27470,6917,230.8,1.8,P05_R03,6,Picking in front,OP040,R03,P05
27918,7030,234.56,[OP040] Catch Bolt B820PT,27703,6976,232.75999,1.8,P05_R03,7,Picking left,OP040,R03,P05
28370,7144,238.36,[OP040] Catch Strap clamps BRIT (x2),27937,7035,234.72,3.64,P05_R03,7,Picking left,OP040,R03,P05
28432,7159,238.88,[OP040] Put down component,28370,7144,238.36,0.52,P05_R03,11,Put down component,OP040,R03,P05
